word|transliteration|meaning|sentences
見つかる|みつかる|"""to be found, be caught <font color=""""#8e8e93"""">(no direct object が)</font>"""|メガネが見つかりません。<br><br>パスポートが見つからない。
休む|やすむ|to take a rest, take a break, take a day off|明日、会社を休みます。<br><br>そこでしばらく休んでいます。
ゆっくり|ゆっくり|slowly, leisurely|もっとゆっくり話してください。<br><br>ゆっくり行きましょう。
六つ|むっつ|six (things)|息子は六つになりました。<br><br>おにぎりを六つ作りました。
花|はな|"""<span style=""""color: rgb(255, 0, 255);"""">flower</span>"""|きれいな花が咲きました。<br><br>母に花を贈った。
動く|うごく|"""<font color=""""#ff9500"""">to move</font> <font color=""""#8e8e93"""">(no direct object)</font>"""|動かないで。<br><br>お腹が痛くて動けません。
線|せん|"""<span style=""""color: rgb(14, 130, 255);"""">line</span>"""|赤い線を2本引いてください。<br><br>この線をもっと細くしてください。
七日|なのか|seven days, seventh of the month|先月の七日に孫が生まれました。<br><br>十月七日にスポーツイベントがあります。
以外|いがい|except (for)|私は雨の日以外は自転車で学校に行く。<br><br>私は月曜日以外は仕事があります。
男|おとこ|man, male|男の人が私たちに話しかけた。<br><br>彼は駄目な男だ。
彼|かれ|he, one's boyfriend|彼は今、勉強しています。<br><br>彼の父親は先生です。
女|おんな|woman|店員は若い女の人でした。<br><br>彼女は悪い女だ。
妻|つま|(one's own) wife|今日は妻の誕生日だ。<br><br>妻にネックレスをプレゼントしました。
百|ひゃく|hundred|私の祖母は百才です。<br><br>この古い時計は百年前のものだ。
辺|へん|"""<font color=""""#007aff"""">side, vicinity;</font><div>edge, area</div>"""|彼はこの辺に住んでいます。<br><br>この辺は田んぼがたくさんあります。
店|みせ|"""<font color=""""#ff9500"""">shop, store</font>"""|私はこの店によく来ます。<br><br>この店はサービスがいい。
閉まる|しまる|"""to close,<span style=""""color: rgb(102, 102, 102);""""> be shut, be closed (subject closes itself, no direct object)</span>"""|お店はもう閉まっていました。<br><br>その図書館は日曜日は5時に閉まります。
問題|もんだい|"""problem, <font color=""""#8e8e93"""">question</font>"""|問題が一つあります。<br><br>この問題はかなり易しいです。
必要|ひつよう|necessary|私にはたくさんのお金が必要だ。<br><br>新しい歯ブラシが必要だ。
もつ|もつ|"""<span style=""""color: rgb(255, 0, 127);"""">to last long, be durable</span>"""|この車はよくもっている。<br><br>彼女はもう長くはもたないだろう。
開く|あく|"""to open <font color=""""#666666"""">(no direct object が)</font><br>"""|電車のドアが開きました。<br><br>銀行は3時まで開いています。
昨年|さくねん|"""<span style=""""color: rgb(255, 0, 255);"""">last year</span> <span style=""""color: rgb(102, 102, 102);"""">(formal, often used in writing)</span>"""|昨年は地震が多い年でした。<br><br>私たちは昨年、富士山に登りました。
治る|なおる|"""to be cured, get well <font color=""""#8e8e93"""">(no direct object が)</font>"""|けがはもう治りましたか。<br><br>やっと風邪が治りました。
ドル|どる|"""<font color=""""#34c759"""">dollar</font>"""|この服は300ドルしました。<br><br>今、１ドル何円ですか。
システム|しすてむ|"""system<font color=""""#8e8e93""""> (loan word)</font>"""|全てのシステムが停止した。<br><br>会社に新しいシステムが入った。
以上|いじょう|more than|飛行機が1時間以上遅れた。<br><br>今日は水を2リットル以上飲んだわ。
最近|さいきん|"""recent, lately, <font color=""""#8e8e93"""">latest</font>"""|それは最近話題の本ですね。<br><br>最近、仕事がかなりハードです。
世界|せかい|"""<font color=""""#0a84ff"""">world</font>"""|私は世界旅行をしたい。<br><br>エベレストは世界でいちばん高い山です。
コンピューター|こんぴゅーたー|computer|新しいコンピューターを買った。<br><br>このコンピューターはすごく遅いです。
やる|やる|  to do, perform, give (to inferiors)|犬にえさをやった。<br><br>毎日金魚に餌をやります。
意味|いみ|meaning, significance, sense|それはどういう意味ですか。<br><br>この言葉の意味が分かりません。
増える|ふえる|"""to increase, grow <font color=""""#8e8e93"""">(no direct object)</font>"""|この町は人口が増えた。<br><br>日本に住む外国人が増えています。
選ぶ|えらぶ|"""<font color=""""#ff9f0a"""">to choose, select</font>"""|良い家を選ぶのは難しい。<br><br>子供は親を選べません。
生活|せいかつ|life, lifestyle, living|日本での生活は楽しいです。<br><br>彼は海外での生活が長いです。
進める|すすめる|"""to advance <span style=""""color: rgb(102, 102, 102);"""">(something)</span>, move <span style=""""color: rgb(102, 102, 102);"""">(something)</span> forward&nbsp;<span style=""""color: rgb(142, 142, 147);"""">(direct object を)</span><br>"""|早く授業を進めましょう。<br><br>話を先に進めてください。
続ける|つづける|"""to continue, follow <span style=""""color: rgb(102, 102, 102);"""">(direct object)<br></span>"""|仕事を続けてください。<br><br>さっきの話を続けましょう。
ほとんど|ほとんど|"""1. hardly (negative, <font color=""""#8e8e93"""">most common usage</font>)<div><div><font color=""""#007aff"""">2. almost, mostly, nearly (positive)</font></div></div>"""|お金がほとんどありません。<br><br>ここはほとんど変わっていませんね。
会社|かいしゃ|company, corporation|彼は小さな会社に勤めています。<br><br>明日、会社を休みます。
家|いえ|"""house, <font color=""""#8e8e93"""">dwelling</font><br><span style=""""color: rgb(102, 102, 102);"""">(refers more to the physical structure of the house but basically means same thing as uchi)</span>"""|ここが私の家です。<br><br>昨日の夜は家にいました。
多く|おおく|"""<font color=""""#30d158"""">many, much</font>"""|毎年多くの人が海外へ旅行する。<br><br>私はその事故について、多くは知りません。
話|はなし|"""talk, story, <font color=""""#8e8e93"""">conversations</font>"""|あなたの話は面白いね。<br><br>その話は本当ですか。
上がる|あがる|"""to go up, rise <font color=""""#8e8e93"""">(physical movement)</font><br><font color=""""#8e8e93"""">[no direct object が]</font>"""|私たちは2階に上がった。<br><br>レタスの値段がまた上がりました。
もう|もう|"""  <span style=""""background-color: rgb(255, 0, 0); color: rgb(255, 255, 255);"""">now</span>, soon;<br><span style=""""color: rgb(255, 170, 0);"""">already</span>&nbsp;<span style=""""color: rgb(102, 102, 102);"""">(past)</span>,&nbsp;<span style=""""color: rgb(255, 170, 0);"""">anymore</span>&nbsp;<span style=""""color: rgb(102, 102, 102);"""">(neg)</span>;<div><span style=""""color: rgb(0, 122, 255);"""">another, again</span></div>"""|コーヒーをもう一杯ください。<br><br>もう一度彼女に会いたいです。
集める|あつめる|"""to gather, collect <span style=""""color: rgb(102, 102, 102);"""">(direct object を)</span>"""|弟は切手を集めています。<br><br>学生たちはインターネットでいろいろな情報を集めた。
声|こえ|"""voice, sound <span style=""""color: rgb(102, 102, 102);"""">(made by living beings)</span>"""|彼は大きな声で話した。<br><br>私たちは大きな声で歌いました。
初めて|はじめて|"""<span style=""""color: rgb(0, 170, 0);"""">for the first time</span>"""|東京に来るのは初めてです。<br><br>彼女は寿司を初めて食べました。
変わる|かわる|"""<span style=""""color: rgb(255, 0, 255);"""">to change, turn into </span><font color=""""#8e8e93"""">(no direct object)</font>"""|信号が青に変わりました。<br><br>彼はすごく変わった。
まず|まず|"""first <span style=""""color: rgb(102, 102, 102);"""">(of all)</span>, to begin with,<span style=""""color: rgb(142, 142, 147);""""> for now</span>"""|帰ったらまず手を洗いましょう。<br><br>考える前にまずやってみよう。
社会|しゃかい|society|これは大きな社会問題になっている。<br><br>みんなでより良い社会を作りましょう。
プログラム|ぷろぐらむ|program booklet|受付でプログラムを受け取った。<br><br>私はその映画のプログラムを買いました。
力|ちから|strength, power|私にそんな力はありません。<br><br>彼の声には力がなかった。
今回|こんかい|this time|まあ今回は許してあげよう。<br><br>今回はビジネスクラスに乗りました。
予定|よてい|schedule, plan|今日の予定を教えてください。<br><br>カレンダーに予定を書いた。
まま|まま|"""as is, still <font color=""""#8e8e93"""">(in the current state)</font>"""|電気が付いたままですよ。<br><br>そのままのあなたでいてください。
テレビ|てれび|television|私はテレビをあまり見ません。<br><br>テレビのチャンネルを変えてください。
減る|へる|"""to decrease, diminish, <span style=""""color: rgb(102, 102, 102);"""">reduce&nbsp;(no direct object)</span>"""|体重がかなり減りました。<br><br>最近、子供の数が減っている。
消える|きえる|"""<font color=""""#bf5af2"""">to go out, disappear, vanish</font>"""|突然、電気が消えた。<br><br>私はもう、消えてしまいたい。
家族|かぞく|"""family, <span style=""""color: rgb(102, 102, 102);"""">household</span>"""|うちは五人家族です。<br><br>私は家族を愛しています。
比べる|くらべる|to compare, contrast|今月と先月の売上を比べた。<br><br>ニューヨークと比べて東京はどうですか。
生まれる|うまれる|"""to be born, come into existence <span style=""""color: rgb(102, 102, 102);"""">(no direct object が)</span>"""|姉夫婦に男の子が生まれました。<br><br>祖母は京都で生まれました。
ただ|ただ|free of charge|この温泉はただです。<br><br>今日、ただでノートをもらった。
これら|これら|these|今日はこれらの問題について話し合います。<br><br>これらの質問に全部答えてください。
調べる|しらべる|to investigate, check|この単語の意味を辞書で調べましょう。<br><br>日本の社会問題をネットで調べました。
事故|じこ|"""accident, incident, <font color=""""#8e8e93"""">mishap, trouble&nbsp;</font>"""|彼は事故で怪我をしました。<br><br>今朝、事故で電車が止まりました。
電話|でんわ|"""telephone, phone call<div><font color=""""#8e8e93"""">— します form = to call</font></div>"""|あと で電話します。<br><br>私は毎週母に電話をします。
外国|がいこく|foreign country|母はまだ外国に行ったことがありません。<br><br>私は外国に住みたいです。
銀行|ぎんこう|bank|銀行は3時まで開いています。<br><br>姉は銀行で働いています。
十分|じゅうぶん|enough, plentiful|お金はまだ十分あります。<br><br>ディズニーランドは大人でも十分楽しめます。
あまり|あまり|not much, not really, not so|このビールはあまり美味しくありません。<br><br>私はテレビをあまり見ません。
写真|しゃしん|"""<font color=""""#0a84ff"""">photograph</font>, <font color=""""#8e8e93"""">picture</font>"""|写真は良い思い出になります。<br><br>その写真を見せてください。
繰り返す|くりかえす|"""<font color=""""#ff9f0a"""">to repeat </font><font color=""""#8e8e93"""">(direct object)</font>"""|彼女は同じ間違いを繰り返した。<br><br>先生は同じことを何度も繰り返して言いました。
種類|しゅるい|kind, type|バラにはいろいろな種類があります。<br><br>あのレストランはワインの種類が少ないです。
意見|いけん|opinion|あなたの意見が聞きたいです。<br><br>彼は人の意見を聞かない。
新聞|しんぶん|"""<span style=""""color: rgb(255, 170, 0);"""">newspaper</span>"""|今日の新聞、どこに置いた？<br><br>私は毎朝、電車で新聞を読みます。
文章|ぶんしょう|"""<font color=""""#ff9f0a"""">sentence(s), writing</font><font color=""""#8e8e93""""> (in general), any written text&nbsp;</font>"""|彼は文章がとてもうまい。<br><br>この文章の意味が分かりません。
目立つ|めだつ|"""to stand out, be conspicuous <font color=""""#8e8e93"""">(no direct object)</font>"""|彼女の大きな帽子はとても目立つ。<br><br>彼はクラスで目立っている。
相手|あいて|the other party, ally, opponent|試合の相手は誰ですか。<br><br>相手は何て言ってますか。
病院|びょういん|hospital|病院はどこですか。<br><br>あの病院はお医者さんの数が少ないです。
厚い|あつい|thick, bulky|その辞書はとても厚い。<br><br>私はあのお店の厚いステーキが大好きだ。
忙しい|いそがしい|busy, occupied|忙しいので手伝ってください。<br><br>3月は仕事が忙しい。
薄い|うすい|"""<span style=""""color: rgb(85, 170, 0);"""">thin, weak</span>"""|この電子辞書はとても薄い。<br><br>この料理は味が薄い。
川|かわ|"""<font color=""""#0a84ff"""">river, stream</font>"""|小さな川を渡りました。<br><br>この川は浅いです。
暗い|くらい|dark, gloomy|東の空が暗いです。<br><br>この部屋は少し暗いですね。
クラス|くらす|class (in school)|この学校は1クラス30人です。<br><br>彼はクラスで一番背が高い。
黒い|くろい|"""black, <font color=""""#8e8e93"""">dark</font>"""|彼女は黒いドレスを着ています。<br><br>私は黒いバッグを持っています。
バス|ばす|"""<font color=""""#ff9f0a"""">bus</font>"""|バスで行こう。<br><br>私は毎朝、8時20分のバスに乗ります。
青い|あおい|"""<font color=""""#007aff"""">blue</font>"""|ここの海はとても青い。<br><br>彼女は青い目をしています。
買い物|かいもの|shopping|母は買い物に出かけています。<br><br>買い物をすっかり忘れていた。
薬|くすり|drug, medicine|この薬を必ず飲んでください。<br><br>昼ご飯の前に薬を飲みました。
砂糖|さとう|"""<span style=""""color: rgb(255, 0, 255);"""">sugar</span>"""|コーヒーに砂糖は入れますか。<br><br>このコーヒーには砂糖が入っていません。
休み|やすみ|"""holiday, break, <span style=""""color: rgb(102, 102, 102);"""">vacation, rest</span>"""|今日は休みです。<br><br>木曜日は仕事が休みです。
郵便局|ゆうびんきょく|post office|郵便局はどこですか。<br><br>郵便局で切手を買いました。
住所|じゅうしょ|"""<span style=""""color: rgb(255, 85, 0);"""">address</span>"""|この住所に行ってください。<br><br>ここに住所と氏名を書いてください。
こちら|こちら|here, this way (polite)|受付はこちらです。<br><br>こちらへどうぞ。
財布|さいふ|purse, wallet|会社に財布を忘れた。<br><br>財布は机の下にあった。
パスポート|ぱすぽーと|"""<font color=""""#007aff"""">passport</font>"""|パスポートが見つからない。<br><br>私のパスポートがありません。
椅子|いす|chair|そのお年寄りは椅子に座った。<br><br>その椅子を持ってきてください。
可愛い|かわいい|"""cute,<span style=""""color: rgb(102, 102, 102);""""> sweet</span>"""|彼女の赤ちゃんは可愛いです。<br><br>娘に可愛いドレスを着せた。
お祖父さん|おじいさん|grandfather (colloquial)|私のお祖父さんは毎日散歩します。<br><br>私のお祖父さんは北海道に住んでいます。
切手|きって|"""<font color=""""#ff9500"""">postage stamp</font>"""|ここに切手を貼ってください。<br><br>弟は切手を集めています。
涼しい|すずしい|"""<span style=""""color: rgb(14, 130, 255);"""">cool, refreshing </span><font color=""""#8e8e93"""">(of weather or air)</font>"""|夕方は涼しくなりますよ。<br><br>今日はすごく涼しいですね。
いくつ|いくつ|"""how many <font color=""""#8e8e93"""">(tsu counter)</font>, how old <font color=""""#8e8e93"""">(formal)</font>"""|娘さんはいくつになりましたか。<br><br>日本語の単語をいくつ知っていますか。
メニュー|めにゅー|menu|メニューをください。<br><br>キッズメニューはありますか。
電気|でんき|"""<span style=""""color: rgb(170, 0, 255);"""">electricity,</span> <font color=""""#8e8e93"""">electric light</font>"""|電気をつけてもらえる？<br><br>部屋の電気が付いています。
勝つ|かつ|"""<font color=""""#007aff"""">to win</font>"""|今日はヤンキースが勝った。<br><br>誰も彼には勝てません。
負ける|まける|"""to lose <span style=""""color: rgb(142, 142, 147);"""">(in a match/competition)</span>, be defeated <br><span style=""""color: rgb(102, 102, 102);"""">(no direct object)</span>"""|私たちのチームはその試合で負けた。<br><br>昨日はドジャースが負けました。
建てる|たてる|"""<span style=""""color: rgb(255, 170, 0);"""">to build, erect</span> <font color=""""#8e8e93"""">(direct object)</font>"""|私たちは来年、家を建てます。<br><br>これは父が建てた家です。
日記|にっき|diary|私は毎日、日記をつけています。<br><br>姉は毎晩日記を書いています。
売り切れ|うりきれ|"""sold out, <span style=""""color: rgb(102, 102, 102);"""">sellout</span>"""|チケットはもう売り切れだって。<br><br>そのかばんは売り切れでした。
お巡りさん|おまわりさん|"""police officer <font color=""""#8e8e93"""">(casual)</font>"""|あのお巡りさんに道を聞きましょう。<br><br>私はお巡りさんになりたかった。
目覚まし時計|めざましどけい|alarm clock|7時に目覚まし時計が鳴りました。<br><br>目覚まし時計を6時にセットした。
レシート|れしーと|receipt (loan word)|レシートを財布に入れました。<br><br>レシートを見せてください。
ティッシュ|てぃっしゅ|"""tissue, <font color=""""#8e8e93"""">Kleenex</font>"""|ティッシュを取ってください。<br><br>駅前でティッシュをもらった。
歯ブラシ|はぶらし|toothbrush|新しい歯ブラシが必要だ。<br><br>この歯ブラシは子供のです。
下りる|おりる|"""to go down, come down, get off (bus, train, etc), <font color=""""#ff9500"""">land</font>"""|そこの階段を下りてください。<br><br>ネコが木から下りてきた。
洗う|あらう|"""<font color=""""#0a84ff"""">to wash</font>"""|早く顔を洗いなさい。<br><br>石鹸で手を洗ってください。
パート|ぱーと|part-time|彼女はパートで働いています。<br><br>妻がパートの仕事を探しています。
氏名|しめい|full name|ここに住所と氏名を書いてください。<br><br>このリストには、お客様の住所、氏名、電話番号が書いてある。
今夜|こんや|"""<span style=""""color: rgb(255, 85, 0);"""">tonight, this evening</span>"""|今夜は月がとてもきれいです。<br><br>今夜は星がよく見えます。
夜中|よなか|"""<font color=""""#007aff"""">midnight</font>"""|夜中に電話がありました。<br><br>昨日は夜中まで起きていました。
来週|らいしゅう|next week|続きは来週やりましょう。<br><br>私は来週、すごく忙しいです。
誰か|だれか|someone|誰かに聞いてみてください。<br><br>すみません、誰か来てください。
何|なん|what (used with t, d, n consonants and counters)|質問は何ですか。<br><br>あれは何ですか。
今朝|けさ|this morning|今朝テレビでそのニュースを知りました。<br><br>今朝は早く家を出ました。
寿司|すし|sushi|彼女は寿司を初めて食べました。<br><br>昼食に寿司を食べました。
履く|はく|"""<span style=""""color: rgb(255, 85, 0);"""">to put on, wear</span> <span style=""""color: rgb(102, 102, 102);"""">(below the waist eg. shoes, pants, skirt)</span>"""|彼女はブーツを履いています。<br><br>彼女は茶色の靴を履いています。
おじさん|おじさん|uncle|昨日おじさんに会いました。<br><br>おじさんがクリスマスプレゼントをくれました。
おばさん|おばさん|aunt|おばさん一家が遊びに来ました。<br><br>私のおばさんはお祖母ちゃんと住んでいます。
お祖母さん|おばあさん|"""grandmother <font color=""""#8e8e93"""">(colloquial)</font>, elderly woman"""|彼女はお祖母さんと住んでいる。<br><br>あのお祖母さんは今、80歳です。
いとこ|いとこ|cousin|いとこと私は同じ年です。<br><br>来週、いとこがうちに泊まりに来ます。
辞書|じしょ|"""dictionary <font color=""""#8e8e93"""">(category)</font>"""|彼女は辞書をよく使います。<br><br>この単語の意味を辞書で調べましょう。
朝ご飯|あさごはん|"""<font color=""""#ff9500"""">breakfast </font><font color=""""#8e8e93"""">(colloquial)</font>"""|7時に朝ご飯を食べました。<br><br>今、朝ご飯を作っています。
白|しろ|white color|白は雪の色です。<br><br>赤ワインと白ワイン、どちらが好きですか。
どっち|どっち|"""which, which one <font color=""""#8e8e93"""">(2 things, casual)</font>"""|どっちの色が好きですか。<br><br>お寿司とラーメン、どっちがいい？
そっち|そっち|there (casual)|そっちが私の部屋です。<br><br>辞書はそっちのかばんに入っています。
明日|あした|"""tomorrow <font color=""""#8e8e93"""">(casual)</font>"""|では、また明日。<br><br>明日は理科のテストです。
明後日|あさって|"""day after tomorrow <font color=""""#8e8e93"""">(colloquial)</font>"""|明後日は休日です。<br><br>明後日は友達と海に行きます。
一昨日|おととい|the day before yesterday (colloquial)|一昨日彼から電話がありました。<br><br>一昨日から風邪で仕事を休んでいます。
庭|にわ|"""<font color=""""#34c759"""">garden, yard</font>"""|庭に白いネコがいます。<br><br>庭には2羽にわとりがいます。にわとり鶏
左側|ひだりがわ|left side|画面の左側を見てください。<br><br>日本では車は道の左側を走ります。
右側|みぎがわ|right side|彼女はいつも私の右側を歩きます。<br><br>日本では人は道の右側を歩きます。
指|ゆび|finger, toe|彼は指が太い。<br><br>彼女は指が細いですね。
眼鏡|めがね|glasses|彼は眼鏡をかけています。<br><br>私の眼鏡を見ませんでしたか。
鞄|かばん|bag, handbag|その黒い鞄は僕のです。<br><br>これはあなたの鞄ですか。
あっち|あっち|other side, over there (casual)|郵便局はあっちです。<br><br>あっちの方が人が少ないですよ。
大人しい|おとなしい|gentle, quiet, obedient|私の彼女はとても大人しいです。<br><br>うちの娘は子供の時は大人しかった。
下手|へた|"""unskillful, <span style=""""color: rgb(102, 102, 102);"""">unskilled, bad at</span>"""|私は歌が下手だ。<br><br>私は字がすごく下手だ。
厳しい|きびしい|strict, severe|私の上司はとても厳しい。<br><br>今年の夏は暑さが厳しい。
一人で|ひとりで|by oneself, alone|今日は一人で映画を見ます。<br><br>私は一人でいるのが好きです。
答え|こたえ|"""<span style=""""color: rgb(14, 146, 255);"""">answer, solution, </span><span style=""""color: rgb(102, 102, 102);"""">reply</span>"""|彼はその問題の答えが分からない。<br><br>答えが違います。
この頃|このごろ|recently, these days|この頃、よく肩が凝る。<br><br>彼女、この頃きれいになりましたよね。
残念|ざんねん|regrettable, disappointing|その試合は残念な結果になった。<br><br>彼に会えなくて残念です。
仕舞う|しまう|"""to put away, <font color=""""#8e8e93"""">store</font>,&nbsp;complete<span style=""""color: rgb(102, 102, 102);""""> (with regret)</span>"""|彼女は大切な書類を机に仕舞った。<br><br>財布をポケットに仕舞った。
心配|しんぱい|"""anxiety, worry, <font color=""""#8e8e93"""">concern</font>"""|明日のプレゼンテーションが心配だ。<br><br>心配してくれてありがとう。
外|そと|"""<span style=""""color: rgb(85, 170, 0);"""">outside, </span><span style=""""color: rgb(142, 142, 147);"""">open air</span>"""|外は暑いよ。<br><br>外は真っ暗です。
大切|たいせつ|important, valuable<br>|これは母が大切にしていた指輪です。<br><br>この学校では一人一人の生徒を大切にしています。
ちょうど|ちょうど|just, exactly|値段はちょうど3万円です。<br><br>時計を見たらちょうど3時だった。
助ける|たすける|"""to help, save, <font color=""""#8e8e93"""">rescue (usually in the context of a crisis)</font>"""|彼女は病気の犬を助けた。<br><br>姉はいつも私を助けてくれる。
勤める|つとめる|"""to work <font color=""""#8e8e93"""">(for someone/something), </font>serve, <font color=""""#8e8e93"""">hold a job</font>"""|私は銀行に勤めています。<br><br>彼は小さな会社に勤めています。
連れていく|つれていく|"""to take along, bring along <font color=""""#8e8e93"""">(a person)</font>"""|私も連れていってください。<br><br>昨日、息子を病院に連れていった。
丈夫|じょうぶ|"""<span style=""""color: rgb(255, 85, 0);"""">healthy, sturdy</span>"""|祖母は体が丈夫だ。<br><br>私の歯は丈夫です。
賑やか|にぎやか|"""lively, bustling, exciting <font color=""""#8e8e93"""">(な adj/noun)</font>"""|浅草は賑やかな街です。<br><br>ここはいつも賑やかです。
眠い|ねむい|"""<font color=""""#0a84ff"""">sleepy</font>"""|今日はとても眠いです。<br><br>今日は午後、すごく眠かった。
山|やま|mountain|山の空気はきれいだ。<br><br>今日は山がはっきり見える。
橋|はし|bridge|あの橋は日本で一番長い。<br><br>私たちは歩いて橋を渡った。
止まる|とまる|"""to come to a stop, cease&nbsp;<div><font color=""""#8e8e93"""">(no direct object, が)</font></div><div><font color=""""#8e8e93""""><br></font></div><div><font color=""""#8e8e93"""">yamu is typically used for natural occurrences ceasing, while tomaru is used for physical objects or people coming to a stop</font></div>"""|今朝、事故で電車が止まりました。<br><br>目の前にタクシーが止まった。
降る|ふる|"""<div><font color=""""#007aff"""" style=""""color: rgb(0, 122, 255);"""">to fall, come down</font><span style=""""color: rgb(0, 122, 255);""""> </span><font color=""""#8e8e93"""">(rain, snow, weather, etc.)</font><br></div>"""|明日は雨が降るでしょう。<br><br>雨が降っています。
本当|ほんとう|really, true, reality, genuine|その話は本当ですか。<br><br>本当は私は彼女が好きです。
町|まち|"""town, city <font color=""""#8e8e93"""">(smaller than toshi)</font>"""|ここは小さな町です。<br><br>これがこの町で一番高いビルです。
お菓子|おかし|"""<span style=""""color: rgb(255, 0, 255);"""">sweets, snacks</span><br><span style=""""color: rgb(102, 102, 102);"""">eg. confectionary, cake</span>"""|お母さんと一緒にお菓子を作りました。<br><br>みんなにお菓子をあげましょう。
緩い|ゆるい|"""<font color=""""#34c759"""">slack, loose<br></font>ーーぬるい"""|このズボンは緩いです。<br><br>この靴は少し緩いです。
良い|よい|"""good<div><font color=""""#8e8e93"""">(formal/written form of ii)</font></div>"""|彼は良い人です。<br><br>良い家を選ぶのは難しい。
ようこそ|ようこそ|"""welcome <font color=""""#8e8e93"""">(greeting)</font>"""|日本へようこそ。<br><br>ようこそ夢の国へ。
お土産|おみやげ|souvenir (polite)|父はお土産にお菓子を買ってきた。<br><br>友達にイギリスのお土産をもらいました。
両親|りょうしん|"""<font color=""""#8e8e93"""">(both)</font> parents"""|私の両親は大阪に住んでいます。<br><br>夏に両親と京都に行きました。
ウェーター|うぇーたー|waiter|ウェーターが水を運んできました。<br><br>私はウェーターをしています。
ウェートレス|うぇーとれす|waitress|ウェートレスを呼んだ。<br><br>このカフェにはウェートレスが一人しかいない。
絶対に|ぜったいに|"""<font color=""""#007aff"""">absolutely, definitely</font><div>never (neg sentence)</div>"""|絶対に駄目です。<br><br>明日は絶対に仕事を休まないでください。
ごちそう|ごちそう|"""<span style=""""color: rgb(255, 85, 0);"""">• feast</span>&nbsp;<span style=""""color: rgb(102, 102, 102);"""">(more common usage referring to a delicious meal)</span><br><span style=""""color: rgb(255, 85, 0);"""">• treat</span><span style=""""color: rgb(102, 102, 102);""""> (less common usage referring to a very special treat)</span>"""|テーブルの上にごちそうが並んでいる。<br><br>今日は妻がごちそうを作ってくれた。
フォーク|ふぉーく|fork|フォークをもらえますか。<br><br>ケーキを食べるのにフォークが要ります。
スプーン|すぷーん|spoon|カレーライスはスプーンで食べます。<br><br>赤ちゃんがスプーンでご飯を食べている。
瓶|びん|bottle|瓶ビールを注文した。<br><br>瓶はリサイクルに出します。
付く|つく|"""to be on, <font color=""""#8e8e93"""">be switched on</font> <font color=""""#8e8e93"""">(no direct object が)</font>"""|部屋の電気が付いています。<br><br>電気が付いたままですよ。
醤油|しょうゆ|soy sauce|もう少し醤油を足してください。<br><br>寿司には醤油をつけます。
茶碗|ちゃわん|rice bowl|茶碗にご飯をよそいました。<br><br>私は毎晩、茶碗に２杯ご飯を食べます。
決める|きめる|"""to decide <font color=""""#8e8e93"""">(direct object)</font>"""|帰国することに決めました。<br><br>私は彼女との結婚を決めた。
感じる|かんじる|to feel, sense|膝に痛みを感じます。<br><br>彼はその仕事に大きなプレッシャーを感じています。
生きる|いきる|"""<span style=""""color: rgb(255, 85, 0);"""">to live (one's life)</span>"""|皆一生懸命生きている。<br><br>このカメは30年生きている。
動かす|うごかす|"""to move <font color=""""#8e8e93"""">(direct object を)</font>"""|部屋の家具を動かしました。<br><br>少し体を動かしたい。
壊れる|こわれる|"""to break, break down <span style=""""color: rgb(102, 102, 102);"""">(no direct object が)</span>"""|会社のパソコンが壊れた。<br><br>カメラが壊れた。
復習|ふくしゅう|review|昨日の復習をしましたか。<br><br>まず、先週の復習から始めましょう。
眉|まゆ|eyebrow|彼は眉が濃いね。<br><br>眉を少し細くしました。
客|きゃく|"""<span style=""""color: rgb(170, 0, 255);"""">customer, guest, visitor</span>"""|その店は若い客が多いです。<br><br>今日、うちにお客様が来ます。
机|つくえ|desk|新しい机を買ってもらいました。<br><br>財布は机の下にあった。
風呂|ふろ|"""<font color=""""#007aff"""">bath</font>"""|父は今お風呂に入っています。<br><br>お風呂のお湯が一杯です。
湯|ゆ|hot water|お風呂のお湯が一杯です。<br><br>カップラーメンにお湯を入れてください。
ぬるい|ぬるい|"""<font color=""""#ff9500"""">tepid, lukewarm</font>"""|風呂がぬるかった。<br><br>ぬるいココアは美味しくない。
風邪薬|かぜぐすり|cold medicine|この風邪薬を飲みなさい。<br><br>昨日は風邪薬を飲んですぐ寝ました。
靴下|くつした|socks|この靴下は3足で1000円です。<br><br>靴下に穴が開いている。
たばこ|たばこ<br>きつえん|tobacco, cigarette|彼はたばこを吸いません。<br><br>たばこは体に悪い。
アイスコーヒー|あいすこーひー|"""<font color=""""#ff9500"""">iced coffee</font>"""|アイスコーヒーをください。<br><br>アイスコーヒーにミルクをたくさん入れてください。
天ぷら|てんぷら|"""<font color=""""#ff9f0a"""">Japanese deep-fried food</font>"""|私はえびの天ぷらが好きです。<br><br>夕飯にナスの天ぷらを食べました。
肉|にく|"""meat, <font color=""""#8e8e93"""">flesh</font>"""|昨日の夜は肉をたくさん食べました。<br><br>肉と魚とどちらが好きですか。
昨夜|ゆうべ|"""<span style=""""color: rgb(255, 0, 255);"""">last night, last evening </span><font color=""""#8e8e93"""">(colloquial)</font>"""|昨夜、流れ星を見ました。<br><br>昨夜は涼しかったので、走りに行きました。
流行る|はやる|"""<span style=""""color: rgb(255, 0, 127);"""">to be in fashion, be popular</span>"""|去年はスニーカーが流行りました。<br><br>今、大きなサングラスが流行っている。
